FECHA,NO,NOX,NO2,CO,HORA,SO2,O3
01/01/2022,11.0,55.0,44.0,1.08,1.0,3.0,3.0
01/01/2022,29.0,77.0,47.0,1.48,2.0,3.0,2.0
01/01/2022,33.0,79.0,46.0,1.67,3.0,3.0,2.0
01/01/2022,21.0,66.0,44.0,1.22,4.0,2.0,1.0
01/01/2022,31.0,72.0,41.0,1.4,5.0,2.0,1.0
01/01/2022,38.0,78.0,40.0,1.37,6.0,2.0,1.0
01/01/2022,37.0,77.0,40.0,1.19,7.0,2.0,2.0
01/01/2022,56.8,85.4,28.2,0.8,8.0,3.0,3.0
01/01/2022,41.0,84.0,44.0,1.21,9.0,3.0,6.0
01/01/2022,20.0,66.0,46.0,0.99,10.0,3.0,23.0
01/01/2022,8.0,47.0,39.0,0.7,11.0,4.0,49.0
01/01/2022,6.0,55.0,49.0,0.88,12.0,5.0,76.0
01/01/2022,3.0,35.0,32.0,0.6,13.0,5.0,97.0
01/01/2022,1.0,23.0,22.0,0.4,14.0,4.0,112.0
01/01/2022,1.0,16.0,15.0,0.21,15.0,3.0,101.0
01/01/2022,1.0,12.0,12.0,0.11,16.0,3.0,89.0
01/01/2022,1.0,11.0,10.0,0.09,17.0,2.0,71.0
01/01/2022,3.0,22.0,19.0,0.19,18.0,2.0,51.0
01/01/2022,15.0,67.0,52.0,0.65,19.0,2.0,16.0
01/01/2022,4.0,37.0,33.0,0.36,20.0,2.0,32.0
01/01/2022,1.0,24.0,23.0,0.25,21.0,2.0,29.0
01/01/2022,10.0,35.0,25.0,0.43,22.0,1.0,16.0
01/01/2022,48.0,93.0,45.0,1.1,23.0,2.0,1.0
01/01/2022,41.0,76.0,35.0,0.77,24.0,2.0,0.0
02/01/2022,52.0,87.0,35.0,0.73,1.0,2.0,0.0
02/01/2022,45.0,77.0,32.0,0.61,2.0,2.0,1.0
02/01/2022,20.0,44.0,24.0,0.29,3.0,1.0,1.0
02/01/2022,30.0,57.0,27.0,0.33,4.0,1.0,0.0
02/01/2022,25.0,54.0,29.0,0.48,5.0,1.0,0.0
02/01/2022,41.0,70.0,29.0,0.62,6.0,1.0,0.0
02/01/2022,68.0,96.0,29.0,0.88,7.0,2.0,0.0
02/01/2022,96.0,126.0,30.0,1.25,8.0,2.0,1.0
02/01/2022,111.0,148.0,37.0,1.42,9.0,3.0,2.0
02/01/2022,51.0,103.0,52.0,1.16,10.0,3.0,11.0
02/01/2022,20.0,59.0,40.0,0.63,11.0,3.0,27.0
02/01/2022,9.0,32.0,23.0,0.28,12.0,3.0,38.0
02/01/2022,6.0,23.0,17.0,0.16,13.0,2.0,44.0
02/01/2022,3.0,15.0,13.0,0.16,14.0,3.0,58.0
02/01/2022,2.0,10.0,9.0,0.12,15.0,6.0,61.0
02/01/2022,2.0,10.0,8.0,0.11,16.0,3.0,55.0
02/01/2022,2.0,14.0,11.0,0.16,17.0,1.0,44.0
02/01/2022,4.0,20.0,16.0,0.17,18.0,1.0,28.0
02/01/2022,4.0,22.0,18.0,0.16,19.0,1.0,20.0
02/01/2022,5.0,24.0,19.0,0.18,20.0,1.0,15.0
02/01/2022,4.0,18.0,14.0,0.17,21.0,1.0,16.0
02/01/2022,2.0,16.0,14.0,0.14,22.0,0.0,15.0
02/01/2022,3.0,18.0,15.0,0.14,23.0,1.0,16.0
02/01/2022,3.0,19.0,16.0,0.11,24.0,1.0,28.0
03/01/2022,14.2,39.0,25.0,0.284,1.0,1.0,13.0
03/01/2022,7.4,29.0,21.6,0.13,2.0,1.0,11.0
03/01/2022,11.4,37.6,26.2,0.32999999999999996,3.0,1.0,10.0
03/01/2022,2.0,19.0,17.0,0.11,4.0,4.0,14.0
03/01/2022,4.0,21.0,17.0,0.14,5.0,4.0,12.0
03/01/2022,5.0,25.0,20.0,0.23,6.0,4.0,7.0
03/01/2022,9.0,36.0,27.0,0.33,7.0,3.0,1.0
03/01/2022,25.0,55.0,30.0,0.5,8.0,3.0,0.0
03/01/2022,31.0,61.0,31.0,0.6,9.0,3.0,2.0
03/01/2022,28.0,58.0,30.0,0.68,10.0,3.0,5.0
03/01/2022,27.0,56.0,29.0,0.73,11.0,3.0,11.0
03/01/2022,22.0,55.0,33.0,0.74,12.0,3.0,22.0
03/01/2022,15.0,52.0,37.0,0.75,13.0,2.0,37.0
03/01/2022,9.0,46.0,37.0,0.7,14.0,3.0,55.0
03/01/2022,6.0,39.0,33.0,0.57,15.0,3.0,64.0
03/01/2022,7.0,44.0,38.0,0.53,16.0,5.0,57.0
03/01/2022,3.0,33.0,30.0,0.5,17.0,4.0,65.0
03/01/2022,3.0,44.0,41.0,0.55,18.0,3.0,53.0
03/01/2022,4.0,56.0,52.0,0.64,19.0,3.0,33.0
03/01/2022,4.0,46.0,43.0,0.58,20.0,19.0,27.0
03/01/2022,4.0,36.0,32.0,0.39,21.0,44.0,28.0
03/01/2022,7.0,46.0,39.0,0.56,22.0,39.0,19.0
03/01/2022,5.0,47.0,43.0,0.49,23.0,72.0,13.0
03/01/2022,18.0,61.0,43.0,0.61,24.0,34.0,9.0
04/01/2022,48.0,94.0,46.0,0.68,1.0,19.0,4.0
04/01/2022,8.0,40.0,32.0,0.38,2.0,18.0,16.0
04/01/2022,9.0,47.0,38.0,0.44,3.0,11.0,4.0
04/01/2022,10.0,42.0,33.0,0.37,4.0,7.0,5.0
04/01/2022,38.0,72.0,34.0,0.57,5.0,5.0,2.0
04/01/2022,160.0,200.0,41.0,1.22,6.0,5.0,1.0
04/01/2022,193.0,234.0,41.0,1.42,7.0,6.0,1.0
04/01/2022,193.0,236.0,43.0,1.73,8.0,7.0,1.0
04/01/2022,187.0,241.0,54.0,2.16,9.0,16.0,1.0
04/01/2022,85.0,160.0,76.0,1.6,10.0,13.0,8.0
04/01/2022,45.0,135.0,90.0,1.45,11.0,11.0,23.0
04/01/2022,18.0,72.0,53.0,0.74,12.0,7.0,41.0
04/01/2022,7.0,40.0,32.0,0.41,13.0,4.0,58.0
04/01/2022,7.0,38.0,31.0,0.35,14.0,4.0,56.0
04/01/2022,7.0,37.0,30.0,0.31,15.0,3.0,56.0
04/01/2022,4.0,26.0,22.0,0.22,16.0,3.0,63.0
04/01/2022,3.0,24.0,21.0,0.23,17.0,2.0,67.0
04/01/2022,2.0,35.0,33.0,0.47,18.0,2.0,61.0
04/01/2022,15.0,100.0,85.0,1.39,19.0,2.0,17.0
04/01/2022,41.0,130.0,89.0,1.49,20.0,3.0,3.0
04/01/2022,47.0,136.0,89.0,1.65,21.0,3.0,1.0
04/01/2022,34.0,107.0,72.0,1.16,22.0,3.0,7.0
04/01/2022,7.0,51.0,44.0,0.48,23.0,10.0,22.0
04/01/2022,12.0,53.0,41.0,0.32,24.0,15.0,21.0
05/01/2022,12.0,53.0,41.0,0.31,1.0,8.0,16.0
05/01/2022,7.0,40.0,33.0,0.19,2.0,9.0,23.0
05/01/2022,11.0,55.0,45.0,0.36,3.0,9.0,6.0
05/01/2022,30.0,71.0,42.0,0.32,4.0,6.0,6.0
05/01/2022,114.0,165.0,50.0,0.71,5.0,6.0,0.0
