FECHA,NO,NOX ,NO2,CO,HORA,SO2,O3
01/01/2023,26.0,63.0,36.0,1.2,1.0,1.0,2.0
01/01/2023,13.0,45.0,32.0,1.0,2.0,1.0,4.0
01/01/2023,22.0,52.0,30.0,1.2,3.0,2.0,4.0
01/01/2023,26.0,55.0,28.0,1.1,4.0,2.0,2.0
01/01/2023,44.0,71.0,27.0,1.3,5.0,2.0,2.0
01/01/2023,56.0,82.0,26.0,1.5,6.0,2.0,2.0
01/01/2023,51.0,78.0,26.0,1.3,7.0,2.0,2.0
01/01/2023,87.0,113.0,26.0,1.5,8.0,2.0,2.0
01/01/2023,67.0,102.0,35.0,1.6,9.0,2.0,5.0
01/01/2023,21.0,67.0,46.0,1.3,10.0,2.0,23.0
01/01/2023,8.0,45.0,37.0,1.0,11.0,2.0,51.0
01/01/2023,4.0,23.0,19.0,0.6,12.0,2.0,64.0
01/01/2023,2.0,16.0,14.0,0.5,13.0,1.0,74.0
01/01/2023,2.0,10.0,8.0,0.3,14.0,1.0,60.0
01/01/2023,2.0,10.0,8.0,0.2,15.0,1.0,52.0
01/01/2023,1.0,7.0,6.0,0.2,16.0,1.0,48.0
01/01/2023,2.0,12.0,10.0,0.2,17.0,1.0,45.0
01/01/2023,2.0,14.0,12.0,0.3,18.0,0.0,32.0
01/01/2023,3.0,24.0,20.0,0.3,19.0,0.0,21.0
01/01/2023,8.0,35.0,27.0,0.4,20.0,1.0,11.0
01/01/2023,19.0,51.0,32.0,0.6,21.0,1.0,4.0
01/01/2023,70.0,103.0,33.0,1.3,22.0,2.0,1.0
01/01/2023,61.0,92.0,31.0,1.1,23.0,2.0,2.0
01/01/2023,19.0,43.0,24.0,0.6,24.0,1.0,8.0
02/01/2023,57.0,87.0,30.0,0.9,1.0,2.0,1.0
02/01/2023,45.0,75.0,30.0,0.8,2.0,1.0,1.0
02/01/2023,34.0,61.0,27.0,0.7,3.0,1.0,1.0
02/01/2023,56.0,83.0,28.0,0.6,4.0,2.0,2.0
02/01/2023,54.0,81.0,27.0,0.7,5.0,2.0,2.0
02/01/2023,55.0,80.0,24.0,0.6,6.0,2.0,4.0
02/01/2023,89.0,118.0,29.0,0.8,7.0,2.0,1.0
02/01/2023,96.0,125.0,29.0,1.0,8.0,3.0,2.0
02/01/2023,58.0,85.0,28.0,0.8,9.0,2.0,5.0
02/01/2023,18.0,36.0,18.0,0.4,10.0,1.0,16.0
02/01/2023,7.0,17.0,10.0,0.3,11.0,1.0,26.0
02/01/2023,6.0,14.0,8.0,0.2,12.0,0.0,29.0
02/01/2023,5.0,13.0,8.0,0.2,13.0,0.0,31.0
02/01/2023,3.0,8.0,5.0,0.1,14.0,0.0,31.0
02/01/2023,2.0,7.0,5.0,0.1,15.0,0.0,33.0
02/01/2023,3.0,9.0,6.0,0.1,16.0,0.0,32.0
02/01/2023,3.0,9.0,6.0,0.1,17.0,0.0,31.0
02/01/2023,4.0,18.0,13.0,0.3,18.0,1.0,27.0
02/01/2023,4.0,25.0,20.0,0.4,19.0,1.0,21.0
02/01/2023,6.0,33.0,27.0,0.5,20.0,1.0,15.0
02/01/2023,8.0,37.0,30.0,0.5,21.0,1.0,8.0
02/01/2023,14.0,43.0,30.0,0.5,22.0,1.0,6.0
02/01/2023,12.0,38.0,26.0,0.5,23.0,1.0,8.0
02/01/2023,60.0,89.0,29.0,0.9,24.0,2.0,3.0
03/01/2023,32.0,59.0,27.0,0.5,1.0,1.0,5.0
03/01/2023,74.0,104.0,29.0,0.6,2.0,2.0,2.0
03/01/2023,35.0,60.0,25.0,0.4,3.0,1.0,6.0
03/01/2023,35.0,64.0,29.0,0.4,4.0,1.0,1.0
03/01/2023,29.0,58.0,29.0,0.5,5.0,1.0,3.0
03/01/2023,52.0,76.0,25.0,0.5,6.0,1.0,3.0
03/01/2023,50.0,78.0,28.0,0.6,7.0,1.0,1.0
03/01/2023,171.0,202.0,31.0,1.6,8.0,4.0,2.0
03/01/2023,115.0,146.0,31.0,1.3,9.0,3.0,4.0
03/01/2023,14.0,32.0,17.0,0.3,10.0,1.0,17.0
03/01/2023,20.0,44.0,24.0,0.5,11.0,1.0,19.0
03/01/2023,15.0,39.0,24.0,0.5,12.0,1.0,27.0
03/01/2023,4.0,12.0,8.0,0.1,13.0,0.0,35.0
03/01/2023,3.0,9.0,6.0,0.1,14.0,0.0,42.0
03/01/2023,2.0,9.0,7.0,0.2,15.0,1.0,44.0
03/01/2023,2.0,10.0,7.0,0.2,16.0,1.0,44.0
03/01/2023,2.0,9.0,7.0,0.1,17.0,0.0,38.0
03/01/2023,3.0,12.0,10.0,0.2,18.0,1.0,33.0
03/01/2023,3.0,15.0,12.0,0.2,19.0,0.0,21.0
03/01/2023,4.0,19.0,15.0,0.3,20.0,0.0,17.0
03/01/2023,5.0,26.0,20.0,0.3,21.0,0.0,11.0
03/01/2023,14.0,36.0,22.0,0.4,22.0,1.0,9.0
03/01/2023,59.0,89.0,30.0,0.8,23.0,2.0,1.0
03/01/2023,4.6,29.6,25.2,0.3,24.0,1.0,17.0
04/01/2023,37.0,69.6,32.4,0.458,1.0,1.0,14.0
